option,date,timestamp_ms,datetime_et,price,size,exchange,conditions
O:SPY240322P00470000,2024-03-14,1710444790044,2024-03-14T15:33:10.044000-04:00,0.18,1,300,[209]
O:SPY240322P00470000,2024-03-14,1710443966924,2024-03-14T15:19:26.924000-04:00,0.17,1,300,[227]
O:SPY240322P00470000,2024-03-14,1710443904057,2024-03-14T15:18:24.057000-04:00,0.15,1,304,[209]
O:SPY240322P00470000,2024-03-14,1710443904040,2024-03-14T15:18:24.040000-04:00,0.15,200,313,[209]
O:SPY240322P00470000,2024-03-14,1710443652770,2024-03-14T15:14:12.770000-04:00,0.13,5,300,[227]
O:SPY240322P00470000,2024-03-14,1710443340459,2024-03-14T15:09:00.459000-04:00,0.15,1,312,[236]
O:SPY240322P00470000,2024-03-14,1710438145787,2024-03-14T13:42:25.787000-04:00,0.14,10,309,[209]
O:SPY240322P00470000,2024-03-14,1710437725556,2024-03-14T13:35:25.556000-04:00,0.14,10,301,[209]
O:SPY240322P00470000,2024-03-14,1710437663236,2024-03-14T13:34:23.236000-04:00,0.14,3,309,[219]
O:SPY240322P00470000,2024-03-14,1710437009998,2024-03-14T13:23:29.998000-04:00,0.14,3,309,[209]
O:SPY240322P00470000,2024-03-14,1710432920821,2024-03-14T12:15:20.821000-04:00,0.15,26,304,[209]
O:SPY240322P00470000,2024-03-14,1710432920821,2024-03-14T12:15:20.821000-04:00,0.15,38,304,[209]
O:SPY240322P00470000,2024-03-14,1710432666375,2024-03-14T12:11:06.375000-04:00,0.14,3,315,[219]
O:SPY240322P00470000,2024-03-14,1710430689420,2024-03-14T11:38:09.420000-04:00,0.13,4,309,[209]
O:SPY240322P00470000,2024-03-14,1710430387859,2024-03-14T11:33:07.859000-04:00,0.14,1,302,[209]
O:SPY240322P00470000,2024-03-14,1710430387859,2024-03-14T11:33:07.859000-04:00,0.14,2,302,[209]
O:SPY240322P00470000,2024-03-14,1710430387859,2024-03-14T11:33:07.859000-04:00,0.14,4,302,[209]
O:SPY240322P00470000,2024-03-14,1710430256673,2024-03-14T11:30:56.673000-04:00,0.14,1,300,[209]
O:SPY240322P00470000,2024-03-14,1710430256673,2024-03-14T11:30:56.673000-04:00,0.14,5,300,[209]
O:SPY240322P00470000,2024-03-14,1710430256673,2024-03-14T11:30:56.673000-04:00,0.14,1,300,[209]
O:SPY240322P00470000,2024-03-14,1710430250559,2024-03-14T11:30:50.559000-04:00,0.14,5,319,[209]
