ticker,timestamp_ms,datetime_et,open,high,low,close,volume,vwap,transactions,otc
SPY,1710264360000,2024-03-12T13:26:00-04:00,515.37,515.37,515.06,515.09,97896,515.1584,1042,
SPY,1710264420000,2024-03-12T13:27:00-04:00,515.0996,515.28,515.0901,515.0901,36228,515.1841,563,
SPY,1710264480000,2024-03-12T13:28:00-04:00,515.09,515.13,514.89,515.01,107401,514.9707,1107,
SPY,1710264540000,2024-03-12T13:29:00-04:00,515.03,515.05,514.79,514.9183,66826,514.9232,854,
SPY,1710264600000,2024-03-12T13:30:00-04:00,514.9299,515.11,514.89,515.09,45493,515.0174,766,
SPY,1710264660000,2024-03-12T13:31:00-04:00,515.1,515.16,515.04,515.12,35240,515.1171,715,
SPY,1710264720000,2024-03-12T13:32:00-04:00,515.14,515.15,515.05,515.121,20698,515.1139,455,
SPY,1710264780000,2024-03-12T13:33:00-04:00,515.12,515.18,515.1,515.14,33745,515.1464,537,
SPY,1710264840000,2024-03-12T13:34:00-04:00,515.12,515.22,515.06,515.16,51252,515.1384,675,
SPY,1710264900000,2024-03-12T13:35:00-04:00,515.15,515.28,515.15,515.19,80717,515.183,850,
SPY,1710264960000,2024-03-12T13:36:00-04:00,515.1701,515.255,515.0807,515.0807,60548,515.1861,672,
SPY,1710265020000,2024-03-12T13:37:00-04:00,515.0865,515.19,515.01,515.14,54239,515.0865,705,
SPY,1710265080000,2024-03-12T13:38:00-04:00,515.12,515.3787,515.09,515.37,61954,515.2526,927,
SPY,1710265140000,2024-03-12T13:39:00-04:00,515.37,515.465,515.28,515.3099,113165,515.3873,1149,
SPY,1710265200000,2024-03-12T13:40:00-04:00,515.31,515.4499,515.27,515.42,37421,515.3693,608,
SPY,1710265260000,2024-03-12T13:41:00-04:00,515.42,515.475,515.25,515.35,89042,515.367,933,
SPY,1710265320000,2024-03-12T13:42:00-04:00,515.36,515.455,515.35,515.39,544010,511.4887,571,
SPY,1710265380000,2024-03-12T13:43:00-04:00,515.38,515.4287,515.345,515.38,92081,515.3895,696,
SPY,1710265440000,2024-03-12T13:44:00-04:00,515.37,515.5,515.36,515.46,52261,515.4622,692,
SPY,1710265500000,2024-03-12T13:45:00-04:00,515.46,515.595,515.4,515.415,104272,515.5131,1071,
SPY,1710265560000,2024-03-12T13:46:00-04:00,515.41,515.47,515.275,515.3182,73449,515.3933,802,
SPY,1710265620000,2024-03-12T13:47:00-04:00,515.3201,515.51,515.31,515.5,29598,515.4076,499,
SPY,1710265680000,2024-03-12T13:48:00-04:00,515.52,515.57,515.45,515.56,28442,515.4981,475,
SPY,1710265740000,2024-03-12T13:49:00-04:00,515.55,515.57,515.45,515.48,205638,512.0591,545,
SPY,1710265800000,2024-03-12T13:50:00-04:00,515.4803,515.53,515.4,515.43,36629,515.458,518,
SPY,1710265860000,2024-03-12T13:51:00-04:00,515.43,515.49,515.35,515.42,39039,515.4016,519,
SPY,1710265920000,2024-03-12T13:52:00-04:00,515.42,515.49,515.4,515.425,34762,515.4415,499,
SPY,1710265980000,2024-03-12T13:53:00-04:00,515.43,515.4799,515.31,515.31,30467,515.4161,489,
SPY,1710266040000,2024-03-12T13:54:00-04:00,515.31,515.37,515.19,515.285,101685,515.2481,1097,
SPY,1710266100000,2024-03-12T13:55:00-04:00,515.29,515.44,515.18,515.42,59557,515.2802,718,
SPY,1710266160000,2024-03-12T13:56:00-04:00,515.4,515.52,515.37,515.48,94248,515.4525,882,
SPY,1710266220000,2024-03-12T13:57:00-04:00,515.4899,515.78,515.47,515.77,140263,515.6469,1450,
SPY,1710266280000,2024-03-12T13:58:00-04:00,515.78,515.8,515.69,515.69,103888,515.7578,984,
SPY,1710266340000,2024-03-12T13:59:00-04:00,515.69,515.69,515.55,515.6,65854,515.6109,779,
SPY,1710266400000,2024-03-12T14:00:00-04:00,515.61,515.705,515.51,515.58,147470,515.5679,1457,
SPY,1710266460000,2024-03-12T14:01:00-04:00,515.58,515.69,515.56,515.6744,101567,515.636,897,
SPY,1710266520000,2024-03-12T14:02:00-04:00,515.66,515.7,515.59,515.65,54153,515.647,698,
SPY,1710266580000,2024-03-12T14:03:00-04:00,515.65,515.8,515.65,515.79,63899,515.7159,768,
SPY,1710266640000,2024-03-12T14:04:00-04:00,515.79,515.86,515.73,515.78,94984,515.8039,1134,
SPY,1710266700000,2024-03-12T14:05:00-04:00,515.78,515.97,515.78,515.92,91441,515.8779,1049,
SPY,1710266760000,2024-03-12T14:06:00-04:00,515.925,515.9275,515.72,515.7599,73647,515.8303,779,
SPY,1710266820000,2024-03-12T14:07:00-04:00,515.75,515.85,515.66,515.7149,88941,515.7493,966,
