option,date,timestamp_ms,datetime_et,open,high,low,close,volume,vwap,transactions,otc
O:SPY240315C00470000,2024-03-13,1710339424000,2024-03-13T10:17:04-04:00,46.6,46.6,46.6,46.6,2,46.6,2,
O:SPY240315C00470000,2024-03-13,1710339563000,2024-03-13T10:19:23-04:00,46.65,46.65,46.65,46.65,4,46.65,1,
O:SPY240315C00470000,2024-03-13,1710340375000,2024-03-13T10:32:55-04:00,46.7,46.7,46.7,46.7,1,46.7,1,
O:SPY240315C00470000,2024-03-13,1710340759000,2024-03-13T10:39:19-04:00,46.6,46.6,46.6,46.6,1,46.6,1,
O:SPY240315C00470000,2024-03-13,1710340960000,2024-03-13T10:42:40-04:00,46.66,46.66,46.66,46.66,25,46.66,1,
O:SPY240315C00470000,2024-03-13,1710343698000,2024-03-13T11:28:18-04:00,46.4,46.4,46.4,46.4,30,46.4,1,
O:SPY240315C00470000,2024-03-13,1710343795000,2024-03-13T11:29:55-04:00,46.29,46.29,46.29,46.29,1,46.29,1,
O:SPY240315C00470000,2024-03-13,1710345909000,2024-03-13T12:05:09-04:00,46.6,46.6,46.6,46.6,297,46.6,1,
O:SPY240315C00470000,2024-03-13,1710346176000,2024-03-13T12:09:36-04:00,46.44,46.44,46.44,46.44,1,46.44,1,
O:SPY240315C00470000,2024-03-13,1710347918000,2024-03-13T12:38:38-04:00,46.54,46.54,46.54,46.54,5,46.54,1,
O:SPY240315C00470000,2024-03-13,1710349338000,2024-03-13T13:02:18-04:00,47.11,47.11,47.11,47.11,1,47.11,1,
O:SPY240315C00470000,2024-03-13,1710349829000,2024-03-13T13:10:29-04:00,47.24,47.24,47.24,47.24,7,47.24,1,
O:SPY240315C00470000,2024-03-13,1710350139000,2024-03-13T13:15:39-04:00,47.18,47.18,47.18,47.18,2,47.18,1,
O:SPY240315C00470000,2024-03-13,1710350766000,2024-03-13T13:26:06-04:00,47.27,47.27,47.27,47.27,1,47.27,1,
O:SPY240315C00470000,2024-03-13,1710351355000,2024-03-13T13:35:55-04:00,47.08,47.11,46.92,47.1,12,47.0883,9,
